,pl_name,hostname,pl_bmasse,pl_orbper,pl_orbsmax,st_mass
866,HD 106252 b,HD 106252,2419.538,1600,2.7033,1.03
867,HD 106252 b,HD 106252,2402.7948,1600,2.7,1.06
868,HD 108874 c,HD 108874,323.537,1605.8,2.68,0.99
869,HAT-P-17 c,HAT-P-17,416.34,1610,2.555,0.857
870,HD 11506 b,HD 11506,1551.00262616,1613.74017,2.8,1.12
871,HD 11506 b,HD 11506,1525.5763536,1617.7,2.885,1.22
872,HD 11506 b,HD 11506,1535.1189,1622.1,2.9,1.24
873,HD 108874 c,HD 108874,314.64,1624,2.659,0.95
874,HD 11506 b,HD 11506,1338.01,1627.5,2.708,1.24
875,HD 113538 c,HD 113538,225.65,1657,2.43,0.7
876,HD 12661 c,HD 12661,581.6,1679,2.86,1
877,HD 108874 c,HD 108874,338.2,1680,2.77,0.97
878,HD 12661 c,HD 12661,589.57169499,1696.7,2.861,1.084826
879,HD 12661 c,HD 12661,610,1708,2.9,1
880,HD 12661 c,HD 12661,575.884,1708,2.8145,1.02
881,14 Her b,14 Her,1554.12,1724,2.82,1
882,HD 204941 b,HD 204941,73.1009,1733,2.55,0.58
883,HD 204941 b,HD 204941,84.5392,1733,2.56,0.74
884,HD 108874 c,HD 108874,362.00655557,1743.2,2.83,0.995578
885,HD 168443 c,HD 168443,5752.723,1748.2,2.91,0.98
886,HD 168443 c,HD 168443,5752.5,1749.5,2.91,0.98
887,HD 168443 c,HD 168443,5644.63250832,1749.67,2.881,1.042438
888,HD 168443 c,HD 168443,5464.221,1749.83,2.8373,0.995
889,HD 168443 c,HD 168443,5500.33841154,1753.1096,2.842,0.98
890,14 Her b,14 Her,2559.47216157,1765.0389,2.774,0.91
891,14 Her b,14 Her,1581.138,1766,2.864,0.91
892,14 Her b,14 Her,1541.46777395,1766.41,2.83,0.969205
893,14 Her b,14 Her,1481.0878,1773.40002,2.93,0.9
894,14 Her b,14 Her,1506.45,1796.4,2.8,0.9
895,HD 129445 b,HD 129445,797.74930157,1802,2.984,1.09
896,HD 113538 c,HD 113538,295.57,1818,2.44,0.585
897,HD 169830 c,HD 169830,2437.42605328,1818.82339,3.075,1.17
898,HD 169830 c,HD 169830,1115.57770857,1831.9,3.282,1.406679
899,HD 169830 c,HD 169830,2828.6728223,1832,3.29,1.4
900,HD 129445 b,HD 129445,508.507,1840,2.9,0.99
901,GJ 849 b,GJ 849,289.21,1845,2.32,0.49
902,GJ 849 b,GJ 849,317.83,1882,2.35,0.65
903,HD 106270 b,HD 106270,3219.6179,1888,3.34,1.39
904,GJ 849 b,GJ 849,260.61,1890,2.35,0.49
905,HD 106270 b,HD 106270,3623.2438398,1890,3.347,1.48
906,HD 204313 b,HD 204313,1099.6918,1920.09998,3.07,1.03
907,HD 204313 b,HD 204313,1128.25,1920.1,3.04,1.02
908,GJ 849 b,GJ 849,289.531,1924,2.39,0.461286
909,GJ 849 b,GJ 849,283.82076745,1925.31,2.32,0.45
910,HD 142022 A b,HD 142022 A,1411.1652,1928,2.93,0.9
911,HD 142022 A b,HD 142022 A,1600,1928,3.03,0.99
912,HD 204313 b,HD 204313,1287.16,1931,3.082,1.045
913,HD 11964 b,HD 11964,200.54972482,1935,3.185,1.151343
914,HD 142022 A b,HD 142022 A,1433.40611557,1935,2.939,0.98
915,GJ 849 b,GJ 849,283.18511064,1940,2.409,0.495859
916,HD 11964 b,HD 11964,198,1945,3.16,0.91
917,HD 204313 b,HD 204313,1360,2024.1,3.167,1.02
918,HD 204313 b,HD 204313,1466.7780983,2041.11539,3.185,1.03
919,HD 204313 b,HD 204313,1576.42889872,2050,3.208,1.045
920,HD 152079 b,HD 152079,953.45,2097,3.2,1.023
921,HD 169830 c,HD 169830,1283.98,2102,3.6,1.4
922,HD 11964 b,HD 11964,193.9,2110,3.34,1.12
923,HD 181433 d,HD 181433,171,2172,3,0.78
924,HD 10180 h,HD 10180,65.663678,2205,3.381,1.06
925,HD 10180 h,HD 10180,64.4,2222,3.4,1.06
926,47 UMa c,47 UMa,157.96071828,2287,3.404,1.005192
927,GJ 179 b,GJ 179,260.61,2288,2.41,0.357
928,GJ 179 b,GJ 179,301.93698665,2303,2.424,0.357
929,GJ 179 b,GJ 179,239.00696206,2333,2.523,0.393442
930,47 UMa c,47 UMa,171.621,2391,3.6,1.06
931,HD 181433 d,HD 181433,166.89822,2468.46,3.29347,0.81
932,eps Eri b,eps Eri,492.6365,2502,3.39,0.83
933,eps Eri b,eps Eri,540.311,2502.1,3.4,0.85
934,HD 117207 b,HD 117207,549.8459,2597,3.74,0.96
935,HD 117207 b,HD 117207,597,2597,3.79,1.08
936,HD 117207 b,HD 117207,669.34662514,2606,3.773,1.053
937,HD 117207 b,HD 117207,594.33912109,2615,3.744,1.024232
938,HD 117207 b,HD 117207,612.14058,2621.75,3.787,1.053
939,HD 117207 b,HD 117207,654.7298,2627.08,3.78,1.04
940,eps Eri b,eps Eri,206.90629296,2650,3.5,0.814595
941,eps Eri b,eps Eri,209.76674862,2671,3.53,0.82
942,HD 125612 d,HD 125612,2281.37230545,2822.72698,3.982,1.05
943,HD 125612 d,HD 125612,2313.8024,2835,4.06,1.11
944,HD 190360 b,HD 190360,572.0911326,2854,3.9,1
945,HD 106270 b,HD 106270,3496,2890,4.3,1.32
